Date,Region,Type,Units,Sales
43892,East,Men's Clothing,12,357
44138,South,Men's Clothing,13,480
44015,North,Women's Clothing,18,440
44187,North,Men's Clothing,,525
43938,North,Men's Clothing,,352
44002,North,Women's Clothing,20,486
43957,South,Women's Clothing,13,288
44094,West,Children's Clothing,23,272
44183,East,Children's Clothing,9,238
43832,East,Women's Clothing,9,374
44056,North,Women's Clothing,21,910
43855,East,Children's Clothing,30,884
43902,South,Men's Clothing,25,115
43919,West,Women's Clothing,18,165
44191,South,Women's Clothing,24,150
43955,East,Women's Clothing,35,65
43842,South,Children's Clothing,31,192
44103,North,Women's Clothing,16,1023
43910,East,Women's Clothing,13,198
44039,North,Men's Clothing,,476
43965,West,Men's Clothing,33,308
43891,East,Men's Clothing,18,522
43873,South,Children's Clothing,19,598
43915,North,Children's Clothing,24,396
44165,North,Men's Clothing,,273
44050,East,Children's Clothing,17,414
44025,North,Men's Clothing,,130
44082,North,Children's Clothing,31,120
44004,West,Men's Clothing,24,340
43873,North,Women's Clothing,28,364
43945,North,Women's Clothing,21,391
43929,East,Men's Clothing,35,243
43935,South,Children's Clothing,13,270
44059,North,Children's Clothing,27,525
44010,East,Children's Clothing,26,390
43899,West,Women's Clothing,13,725
44179,North,Children's Clothing,31,198
43840,North,Men's Clothing,,696
43887,North,Men's Clothing,,770
43846,East,Children's Clothing,32,744
44112,East,Men's Clothing,33,272
43963,North,Children's Clothing,29,182
43934,East,Women's Clothing,29,253
44002,East,Men's Clothing,12,924
44143,North,Men's Clothing,,216
44099,East,Children's Clothing,14,209
44155,North,Women's Clothing,31,360
43844,North,Men's Clothing,,512
44013,East,Children's Clothing,17,340
44031,East,Children's Clothing,26,108
43998,East,Men's Clothing,15,930
43875,West,Men's Clothing,24,312
44098,North,Women's Clothing,18,784
44066,North,Women's Clothing,22,336
44077,North,Women's Clothing,3,560
44051,North,Men's Clothing,,273
43982,North,Women's Clothing,8,351
43880,West,Men's Clothing,23,780
44137,South,Children's Clothing,35,156
43865,West,Men's Clothing,6,930
44062,East,Men's Clothing,6,928
43921,South,Women's Clothing,27,186
44065,East,Children's Clothing,27,672
44040,East,Women's Clothing,8,396
44160,South,Children's Clothing,8,841
43847,North,Men's Clothing,,464
43963,North,Men's Clothing,,372
44131,West,Women's Clothing,16,319
43860,North,Children's Clothing,9,350
43840,South,Men's Clothing,6,651
44005,North,Women's Clothing,20,390
44062,East,Women's Clothing,9,255
43872,West,Children's Clothing,22,468
44128,North,Children's Clothing,10,300
43955,North,Men's Clothing,,696
44181,East,Children's Clothing,4,324
43839,North,Women's Clothing,3,682
43945,East,Men's Clothing,28,36
44100,East,Children's Clothing,3,462
44006,North,Men's Clothing,,264
44091,West,Men's Clothing,10,621
44192,South,Men's Clothing,31,560
44037,West,Women's Clothing,10,144
43967,East,Children's Clothing,12,120
43923,North,Men's Clothing,,729
44021,West,Men's Clothing,13,432
43979,West,Women's Clothing,12,128
44111,East,Women's Clothing,31,104
44140,West,Women's Clothing,22,165
43970,North,Children's Clothing,29,560
43919,East,Women's Clothing,24,336
44194,East,Women's Clothing,30,225
44104,East,Children's Clothing,15,156
44102,East,Women's Clothing,16,540
44022,South,Men's Clothing,18,207
44031,South,Children's Clothing,20,352
44127,West,Children's Clothing,16,120
43841,West,Women's Clothing,19,532
44034,North,Women's Clothing,28,76
44098,East,Men's Clothing,15,54
44059,East,Children's Clothing,13,532
44099,South,Children's Clothing,34,99
43983,North,Women's Clothing,17,450
43885,North,Men's Clothing,,210
44006,East,Women's Clothing,4,341
44035,East,Women's Clothing,17,200
44052,East,Women's Clothing,12,144
44073,West,Children's Clothing,21,60
44106,East,Women's Clothing,24,390
43952,West,Children's Clothing,32,348
43879,East,Children's Clothing,34,713
44194,North,Children's Clothing,24,330
44002,South,Men's Clothing,20,638
43974,East,Men's Clothing,33,384
44007,East,Women's Clothing,4,600
43887,North,Men's Clothing,,300
44129,West,Men's Clothing,28,416
43853,East,Men's Clothing,7,360
44002,East,Women's Clothing,10,320
44099,East,Women's Clothing,24,224
44136,West,Women's Clothing,29,380
43933,North,Men's Clothing,,364
43860,North,Men's Clothing,,285
44170,East,Women's Clothing,35,247
43857,West,Children's Clothing,34,510
43994,West,Women's Clothing,19,442
44179,South,Women's Clothing,25,348
43970,South,Children's Clothing,13,104
43951,East,Women's Clothing,7,459
44176,East,Women's Clothing,33,276
43885,East,Women's Clothing,32,693
44129,East,Women's Clothing,26,336
44172,North,Women's Clothing,24,1056
44140,East,Children's Clothing,14,578
43970,South,Men's Clothing,5,720
44027,West,Children's Clothing,11,220
43889,South,Women's Clothing,21,627
43876,North,Women's Clothing,13,120
44056,East,Men's Clothing,32,132
43857,North,Children's Clothing,23,420
43837,North,Women's Clothing,34,147
44061,South,Women's Clothing,7,200
44165,West,Women's Clothing,6,360
43852,North,Women's Clothing,7,783
43846,East,Children's Clothing,27,476
44032,West,Women's Clothing,25,442
44163,West,Women's Clothing,12,770
44133,North,Women's Clothing,19,408
44095,West,Men's Clothing,35,437
44108,East,Men's Clothing,35,350
44122,East,Women's Clothing,13,338
44091,East,Women's Clothing,17,161
43847,North,Children's Clothing,25,825
44124,East,Men's Clothing,32,928
44049,South,Women's Clothing,26,546
44062,East,Women's Clothing,24,384
43910,East,Men's Clothing,14,238
44080,North,Women's Clothing,5,90
43987,East,Children's Clothing,11,220
43879,South,Children's Clothing,21,462
44186,North,Children's Clothing,13,169
43869,West,Men's Clothing,32,928
44020,North,Women's Clothing,23,276
43944,South,Women's Clothing,34,680
43982,North,Women's Clothing,7,231
43955,East,Men's Clothing,6,108
44182,North,Children's Clothing,7,217
44152,West,Men's Clothing,27,486
43936,South,Women's Clothing,25,750
44005,North,Women's Clothing,12,192
44122,East,Women's Clothing,19,399
43872,East,Children's Clothing,35,735
44190,North,Men's Clothing,,1155
44074,South,Men's Clothing,13,208
44066,South,Women's Clothing,17,493
44060,North,Women's Clothing,25,300
